和名,学名 (大菌輪),別名 (目録2016),学名 (目録2016),科 (目録2016),属 (目録2016),Family (目録2016),Genus (目録2016),学名 (Mycobank),最新異名 (Mycobank)

エダゲカタホコリ,Didymium comatum,,,,,,,"Didymium comatum (Lister) Nann.-Bremek., Proceedings van de Koninklijke Nederlandse Akademie van Wetenschappen Section C 69: 361 (1966) [MB#329954]","Didymium difforme var. comatum Lister, J. Bot., London: 8 (1901) [MB#438281]"

エダナシツノホコリ,Ceratiomyxa fruticulosa</i> var. <i>descendens,,,,,,,,

エダマタモジゴケ,Graphis desquamescens,,,,,,,"Graphis desquamescens Fée, Bulletin de la Société Botanique de France 21: 24 (1874) [MB#385716]",

エダモジゴケ,Phaeographis dendritica,,,,,,,"Phaeographis dendritica (Ach.) Müll. Arg., Flora (Regensburg) 65 (24): 382 (1882) [MB#400153]","Hymenodecton dendriticum (Ach.) Leight., Annals and Magazine of Natural History 13: 387-395 (1854) [MB#386952]

<br />Hymenodecton dendritica (Ach.) Leight. (1854) [MB#265957]<br />Platygramma dendriticum (Ach.) G. Mey., Nebenstudien meiner Beschäftigungen im Gebiete der Pflanzenkunde: 332 (1825) [MB#401420]

<br />Graphis dendritica (Ach.) Ach., Lichenographia Universalis: 1-696 (1810) [MB#385706]

<br />Opegrapha dendritica Ach., Methodus qua Omnes Detectos Lichenes Secundum Organa Carpomorpha ad Genera, Species et Varietates Redigere atque Observationibus Illustrare Tentavit Erik Acharius: 31 (1803) [MB#396347]

"

エツキイチジクゴケ,Sphinctrina leucopoda,,,,,,,"Sphinctrina leucopoda Nyl., Synopsis Methodica Lichenum Omnium hucusque Cognitorum, Praemissa Introductione Lingua Gallica 1: 144 (1860) [MB#405484]","Calicium leucopodum (Nyl.) Tuck., Genera Lichenum: An arrangement of the North America lichens: 242 (1872) [MB#381045]"

エツキクダホコリ,Tubulifera microsperma,,,,,,,"Tubulifera microsperma (Berk. & M.A. Curtis) Lado, Cuadernos de Trabajo Flora Micológica Ibérica 16: 87 (2001) [MB#371707]","Tubifera microsperma (Berk. & M.A. Curtis) G.W. Martin, Mycologia 39 (4): 461 (1947) [MB#291645]<br />Licea microsperma Berk. & M.A. Curtis, Grevillea 2 (17): 68 (1873) [MB#178682]

"

エツキクロコップタケ,Urnula craterium,"クロツボタケ，
タカツキタケ",Urnula craterium (Schwein.) Fr. ,クロチャワンタケ科,エツキクロコップタケ属,Sarcosomataceae,Urnula,"Urnula craterium (Schwein.) Fr., Nova Acta Regiae Societatis Scientiarum Upsaliensis Ser. 3, 1: 122 (1851) [MB#170322]","Sarcoscypha craterium (Schwein.) Bánhegyi, Index Horti bot. univ. Bp.: 166 (1938) [MB#251640]<br />Geopyxis craterium (Schwein.) Rehm, Rabenhorst's Kryptogamen-Flora, Pilze - Ascomyceten 1(3): 974 (1894) [MB#453227]

<br />Dermatea craterium (Schwein.) Rehm: 974 (1894) [MB#582486]

<br />Scypharia craterium (Schwein.) Quél.: 283 (1886) [MB#582394]

<br />Cenangium craterium (Schwein.) Fr., Elenchus Fungorum 2: 21 (1828) [MB#243486]

<br />Peziza craterium Schwein., Schriften der Naturforschenden Gesellschaft zu Leipzig 1: 117 (1822) [MB#213053]

"

エツキケホコリ,Trichia decipiens,,,,,,,"Trichia decipiens (Pers.) T. Macbr., The North American slime-moulds: 218 (1899) [MB#164198]","Arcyria decipiens Pers., Annalen der Botanik (Usteri) 15: 35 (1795) [MB#292924]"

エツキセンスゴケ,Sticta gracilis,,,,,,,Sticta gracilis (Müll. Arg.) Zahlbr. (1925) [MB#406221],"Stictis gracilis (Müll. Arg.) Zahlbr., Catalogus Lichenum Universalis 3: 386 (1925) [MB#119043]<br />Stictina gracilis Müll. Arg., Flora (Regensburg) 74 (1): 111 (1891) [MB#406457]

"

エツキダクリオキン,Ditiola radicata,,Dacryomitra stipitata (Peck) Burt  → Ditiola radicata (Alb. & Schwein.) Fr.,アカキクラゲ科,ダクリオミトラ属,Dacrymycetaceae,Dacryomitra,"Ditiola radicata (Alb. & Schwein.) Fr., Systema Mycologicum 2: 170 (1822) [MB#151130]","Dacrymyces radicatus (Alb. & Schwein.) Donk, Mededelingen van de Nederlandse Mycologische Vereeniging 18-20: 120 (1931) [MB#254296]<br />Dacrymyces deliquescens var. radicatus (Alb. & Schwein.) Bourdot & Galzin, Hyménomycètes de France: 68 (1928) [MB#452018]

<br />Peziza turbo Pers., Mycologia Europaea 1: 321 (1822) [MB#497388]

<br />Helotium radicatum Alb. & Schwein., Conspectus Fungorum in Lusatiae superioris: 348, t. 8:5 (1805) [MB#227725]

"

エツキヒメサカズキタケ,Calyptella capula,,Calyptella capula (Holmsk.) Quél.,ホウライタケ科,カリプテルラ属,Marasmiaceae,Calyptella,"Calyptella capula (Holmsk.) Quél., Flore mycologique de la France et des pays limitrophes: 25 (1888) [MB#122121]","Calyptella cernua (Schumach.) W.B. Cooke, Beihefte zur Sydowia 4: 36 (1961) [MB#327316]

<br />Cyphella velenovskyi Pilát, Annales Mycologici 22 (1-2): 206 (1924) [MB#281429]<br />Cyphella cernua (Schumach.) Massee, British Fungus-Flora 1: 138 (1892) [MB#414427]

<br />Chaetocypha capula (Holmsk.) Kuntze, Revisio generum plantarum 2: 847 (1891) [MB#468577]

<br />Cyphella capula (Holmsk.) Fr., Epicrisis Systematis Mycologici: 568 (1838) [MB#193431]

<br />Peziza capula var. cernua (Schumach.) Pers., Mycologia Europaea 1: 281 (1822) [MB#462593]

<br />Peziza cernua Schumach., Enumeratio Plantarum, in Partibus Sællandiae Septentrionalis et Orientalis Crescentium 2: 421 (1803) [MB#161411]

<br />Peziza capula Holmsk., Nye Samling af det Kongelige Danske Videnskabers Selskabs Skrifter 1: 286, t. 3 (1781) [MB#461725]

"

エナガウツボホコリ,Arcyria marginoundulata,,,,,,,"Arcyria marginoundulata Nann.-Bremek. & Y. Yamam., Proceedings van de Koninklijke Nederlandse Akademie van Wetenschappen Section C 86: 218 (1983) [MB#107745]",

エナガクロチャワンタケ,Plectania nannfeldtii,,Plectania nannfeldtii Korf,クロチャワンタケ科,エナガクロチャワンタケ属,Sarcosomataceae,Plectania,"Donadinia nigrella (Seaver) M. Carbone, Agnello & P. Alvarado, Ascomycete 5 (1): 6 (2013) [MB#801344]","Donadinia nigrella (Seaver) M. Carbone, Agnello & P. Alvarado, Ascomycete 5 (1): 6 (2013) [MB#801344]<br />Macroscyphus nigrellus (Seaver) Z.S. Bi, [Macrofungus flora of the mountainous district of North Guangdong]: 26 (1990) [MB#363616]

<br />Helvella nigrella (Seaver) F.L. Tai, Sylloge Fungorum Sinicorum: 157 (1979) [MB#116188]

<br />Macropodia nigrella (Seaver) Teng, Zhong Guo De Zhen Jun [Fungi of China]: 762 (1963) [MB#333574]

<br />Paxina nigrella Seaver, The North American Cup-Fungi (Operculates) (3): 208 (1928) [MB#272257]

"

エナガジクホコリ,Diachea splendens,,,,,,,"Diachea splendens (Berk.) Massee, A Monograph of the Myxogastres: 260 (1892) [MB#530451]","Diachea bulbillosa var. splendens (Peck) G. Lister, A monograph of the Mycetozoa: 103 (1925) [MB#248171]<br />Chondrioderma hookeri (Berk.) Lister, A monograph of the Mycetozoa: 85 (1894) [MB#245233]<br />Diachea hookeri (Berk.) Massee, A Monograph of the Myxogastres: 260 (1892) [MB#531413]

<br />Lamproderma hookeri (Berk.) Rostaf., Sluzowce Monografia, Appendix: 24 (1876) [MB#230541]

<br />Diderma hookeri Berk., The botany of the Antarctic Voyage II, Flora Novae-Zealandiae 2: 191, t. 105:12 (1855) [MB#205442]

"

エナシラッシタケ,Favolaschia peziziformis,,Favolaschia peziziformis (Berk. & Curt.) Kuntze ,クヌギタケ科,ラッシタケ属,Mycenaceae,Favolaschia,"Favolaschia peziziformis (Berk. & M.A. Curtis) Kuntze, Revisio generum plantarum 3 (2): 476 (1898) [MB#286449]","Hologloea peziziformis (Berk. & M.A. Curtis) Pat., Essai taxonomique sur les familles et les genres des Hyménomycètes: 86 (1900) [MB#469487]

<br />Hologloea pezizaeformis (Berk. & M.A. Curtis) Pat. (1900) [MB#265527]<br />Laschia peziziformis Berk. & M.A. Curtis, Proceedings of the American Academy of Arts and Sciences 4: 123 (1858) [MB#152407]

<br />Laschia pezizaeformis Berk. & M.A. Curtis (1858) [MB#267855]

"

エヌメリタケ,Mycena clavicularis,,Mycena clavicularis (Fr.) Gillet ,クヌギタケ科,クヌギタケ属,Mycenaceae,Mycena,"Mycena clavicularis (Fr.) Gillet, Les Hyménomycètes ou Description de tous les Champignons qui Croissent en France 1: 257 (1876) [MB#164035]","Prunulus clavicularis (Fr.) Murrill, North American Flora 9 (5): 330 (1916) [MB#503472]<br />Agaricus clavicularis Fr., Systema Mycologicum 1: 158 (1821) [MB#457168]

"

エノキタケ,Flammulina velutipes,"ナメタケ，
ナメススキ，
ナメラッコ",Flammulina velutipes (Curtis) Singer,タマバリタケ科,エノキタケ属,Physalacriaceae,Flammulina,"Flammulina velutipes (Curtis) Singer, Lilloa 22: 307 (1951) [MB#330940]","Myxocollybia velutipes (Curtis) Singer, Annales Mycologici 41: 116 (1943) [MB#508925]

<br />Myxocollybia velutipes (Curtis) Singer, Schweizerische Zeitschrift für Pilzkunde 17: 72 (1939) [MB#301666]

<br />Panaeolus veluticeps Sacc., Sylloge Fungorum 9: 147 (1891) [MB#154589]<br />Agaricus veluticeps Cooke & Massee, Grevillea 18 (85): 4 (1889) [MB#372288]

<br />Pleurotus velutipes (Curtis) Quél., Flore mycologique de la France et des pays limitrophes: 334 (1888) [MB#450807]

<br />Collybia velutipes (Curtis) P. Kumm., Der Führer in die Pilzkunde: 116 (1871) [MB#246831]

<br />Gymnopus velutipes (Curtis) Gray, A natural arrangement of British plants 1: 605 (1821) [MB#486456]

<br />Agaricus nigripes Bull., Herbier de la France 8: t. 344 (1788) [MB#233842]

<br />Agaricus velutipes Curtis, Flora londinensis: 212, t. 70 (1782) [MB#247090]

"

エノキタケモドキ,Clitocybula abundans,,Clitocybula abundans (Peck) Sing.,ホウライタケ科,ヒメヒロヒダタケ属,Marasmiaceae,Clitocybula,"Clitocybula abundans (Peck) Singer, Sydowia 15 (1-6): 53 (1962) [MB#482315]","Clitocybula abundans (Peck) Singer, Sydowia 15 (1-6): 53 (1962) [MB#482315]<br />Clitocybula abundans (Peck) Singer, Sydowia 8 (1-6): 110 (1954) [MB#295186]<br />Fayodia abundans (Peck) Singer, Lloydia 5: 126 (1942) [MB#286457]

<br />Collybia abundans (Peck) Sacc., Sylloge Fungorum 5: 241 (1887) [MB#161635]

<br />Agaricus abundans Peck, Annual Report on the New York State Museum of Natural History 29: 38 (1878) [MB#504876]

"

エヒメウスバタケ,Hydnochaete tabacina,,Hydnochaete tabacina (Berk. & M.A. Curtis ex Fr.) Ryvarden,タバコウロコタケ科,コガネウスバタケ属,Hymenochaetaceae,Hydnochaete,"Hymenochaete odontoides S.H. He & Y.C. Dai, Fungal Diversity 56: 90 (2012) [MB#800191]","Hymenochaete odontoides S.H. He & Y.C. Dai, Fungal Diversity 56: 90 (2012) [MB#800191]<br />Cerrenella tabacina (Berk. & M.A. Curtis ex Fr.) Murrill, Bulletin of the Torrey Botanical Club 32 (7): 361 (1905) [MB#439719]

<br />Trametes tabacina (Berk. & M.A. Curtis ex Fr.) Pat., Essai taxonomique sur les familles et les genres des Hyménomycètes: 93 (1900) [MB#440737]

<br />Xylodon tabacinus (Berk. & M.A. Curtis ex Fr.) Kuntze, Revisio generum plantarum 3 (2): 541 (1898) [MB#440785]

<br />Xylodon tabacinum (Berk. & M.A. Curtis ex Fr.) Kuntze (1892) [MB#292109]

<br />Irpex tabacinus Berk. & M.A. Curtis ex Fr., Nova Acta Regiae Societatis Scientiarum Upsaliensis Ser. 3, 1: 106 (1851) [MB#166401]

"

エビイロチャツムタケ,Gymnopilus suberis,,,,,,,"Gymnopilus suberis (Maire) Singer, Lilloa 22: 561 (1951) [MB#298054]","Fulvidula suberis (Maire) Singer, Revue de Mycologie (Paris) 2 (6): 239 (1937) [MB#279188]<br />Pholiota suberis Maire, Bulletin de la Société Mycologique de France 44: 45 (1928) [MB#279190]

"

エビウラタケ,Gloeoporus dichrous,,Gloeoporus dichrous (Fr.) Bres.,シワタケ科,エビウラタケ属,Meruliaceae,Gloeoporus,"Gloeoporus dichrous (Fr.) Bres., Hedwigia 53 (1-2): 506 (1912) [MB#228918]","Vitreoporus dichrous (Fr.) Zmitr., Folia Cryptogamica Petropolitana 6: 99 (2018) [MB#827382]

<br />Gelatoporia dichroa (Fr.) Ginns: 1 (2014) [MB#550619]

<br />Caloporus dichrous (Fr.) Ryvarden, The Polyporaceae of North Europe 1: 109 (1976) [MB#310102]

<br />Poria subviridis Rick, Brotéria Série Trimestral: Ciências Naturais 6: 151 (1937) [MB#279428]<br />Stereum dichroides Lloyd, Mycological Writings 7 (72): 1271 (1924) [MB#263140]

<br />Polystictus dichrous (Fr.) Gillot & Lucand, Bull. Soc. Hist. nat. Autun: 174 (1890) [MB#251838]

<br />Leptoporus dichrous (Fr.) Quél., Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 177 (1886) [MB#356524]

<br />Gloeoporus candidus Speg., Anales de la Sociedad Científica Argentina 9 (6): 284 (1880) [MB#219943]

<br />Bjerkandera dichroa (Fr.) P. Karst., Meddelanden af Societas pro Fauna et Flora Fennica 5: 38 (1879) [MB#100870]

<br />Polyporus erythropus G.H. Otth, Mitteilungen der Naturforschenden Gesellschaft Bern 1868: 38 (1869) [MB#217149]

<br />Polyporus erythrophorus G.H. Otth (1869) [MB#217457]

<br />Boletus dichrous (Fr.) Spreng., Caroli Linnaei systema vegetabilium 4 (1) (1827) [MB#255591]

<br />Polyporus adustus var. pelleporus (Bull.) Pers., Mycologia Europaea 2: 64 (1825) [MB#498680]

<br />Polyporus dichrous Fr., Observationes mycologicae 1: 125 (1815) [MB#196623]

<br />Boletus pelloporus Bull., Histoire des champignons de la France. I: 365 (1791) [MB#462397]

<br />Boletus pelleporus Bull., Herbier de la France 10: t. 501:2 (1790) [MB#224044]

"

エビウロコタケ,Hymenochaete rubiginosa,エビオオウロコタケ,Hymenochaete rubiginosa (Dicks.) Lév.,タバコウロコタケ科,タバコウロコタケ属,Hymenochaetaceae,Hymenochaete,"Hymenochaete rubiginosa (Dicks.) Lév., Annales des Sciences Naturelles Botanique 5: 151 (1846) [MB#215861]","Thelephora rubiginosa (Dicks.) Pers., Mycologia Europaea 1: 120 (1822) [MB#496598]

<br />Stereum rubiginosum (Dicks.) Fr., Observationes mycologicae 1: 155 (1815) [MB#192384]

<br />Thaelaephora rubiginosa Schrad. ex J.F. Gmel., Systema Naturae 2 (2): 1441 (1792) [MB#566136]<br />Auricularia ferruginea Bull., Herbier de la France 8: t. 378 (1788) [MB#175187]

<br />Helvella rubiginosa Dicks., Fasciculus plantarum cryptogamicarum Britanniae 1: 20 (1785) [MB#439920]

"

エビタケ,Ganoderma tsunodae,エビイロタケ,Ganoderma tsunodae Yasuda,タマチョレイタケ科,マンネンタケ属,Polyporaceae,Ganoderma,"Ganoderma tsunodae (Yasuda ex Lloyd) Sacc., Sylloge Fungorum 23: 139 (1925) [MB#239660]","Trachyderma tsunodae (Yasuda ex Lloyd) Imazeki, Bulletin of the Government Forest Experimental Station Meguro 57: 97 (1952) [MB#306952]<br />Elfvingia tsunodae (Yasuda ex Lloyd) Imazeki, Bulletin of the Tokyo Science Museum 6: 102 (1943) [MB#297104]

<br />Polyporus tsunodae Yasuda ex Lloyd, Mycological Writings 5 (55): 792 (1918) [MB#470938]

"

エビラゴケ,Lobaria discolor,,,,,,,"Lobaria discolor (Bory) Hue, Nouvelles Archives du Museum d'Histoire Naturelle 3: 23 (1901) [MB#394794]","Sticta discolor Bory (1855) [MB#406162]

<br />Ricasolia discolor (Bory) Nyl. (1855) [MB#404155]"

エブリコ,Fomitopsis officinalis,トウボシ,Fomitopsis officinalis (Vill.) Bondartsev & Singer,ツガサルノコシカケ科,ツガサルノコシカケ属,Fomitopsidaceae,Fomitopsis,"Fomitopsis officinalis (Batsch) Bondartsev & Singer, Annales Mycologici 39 (1): 55 (1941) [MB#297501]","Agaricum officinale (Batsch) Donk, Proceedings van de Koninklijke Nederlandse Akademie van Wetenschappen Section C 74 (1): 26 (1971) [MB#473971]

<br />Laricifomes officinalis (Batsch) Kotl. & Pouzar, Ceská Mykologie 11 (3): 158 (1957) [MB#299370]

<br />Fomes officinalis (Batsch) Bres., Iconographia mycologica 20: 989, t. 989 (1931) [MB#272781]

<br />Fomes fuscatus Lázaro Ibiza, Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales Madri 14: 666 (1916) [MB#223889]<br />Ungulina officinalis (Batsch) Pat., Essai taxonomique sur les familles et les genres des Hyménomycètes: 103 (1900) [MB#472036]

<br />Cladomeris officinalis (Batsch) Quél., Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 168 (1886) [MB#468692]

<br />Piptoporus officinalis (Batsch) P. Karst., Bidrag till Kännedom av Finlands Natur och Folk 37: 45 (1882) [MB#472348]

<br />Boletus agaricum Pollini, Flora Veronensis 3: 613 (1824) [MB#468239]

<br />Polyporus officinalis (Batsch) Fr., Systema Mycologicum 1: 365 (1821) [MB#204667]

<br />Boletus purgans J.F. Gmel., Systema Naturae 2 (2): 1436 (1792) [MB#255305]

<br />Boletus officinalis Vill., Histoire des plantes du Dauphiné 3: 1041 (1789) [MB#202367]

<br />Boletus officinalis Batsch, Elenchus fungorum: 111 (1783) [MB#473433]

<br />Boletus laricis Rubel, Miscellanea austriaca ad botanicum, chemiam et historiam naturalem spectantia 1: 172 (1778) [MB#255137]

<br />Agaricum officinale Rubel, Miscellanea austriaca ad botanicum, chemiam et historiam naturalem spectantia 1: 164 (1778) [MB#308331]

"

エリアシタンポタケ,Tolypocladium valvatistipitatum,,"Tolypocladium valvatistipitatum (Kobayasi) Quandt, Kepler & Spatafora",オフィオコルディセプス科,トリポクラジウム属,Ophiocordycipitaceae,Tolypocladium,"Tolypocladium valvatistipitatum (Kobayasi) Quandt, Kepler & Spatafora, IMA Fungus 5 (1): 128 (2014) [MB#808871]","Elaphocordyceps valvatistipitata (Kobayasi) G.H. Sung, J.M. Sung & Spatafora, Studies in Mycology 57: 38 (2007) [MB#504214]

<br />Elaphocordyceps valvatostipitata (Kobayasi) G.H. Sung, J.M. Sung & Spatafora (2007) [MB#529410]<br />Cordyceps valvatostipitata Kobayasi (1960) [MB#328914]

<br />Cordyceps valvatistipitata Kobayasi, Bulletin of the National Science Museum Tokyo 5: 81 (1960) [MB#529409]

"

エリマキツチグリ,Geastrum triplex,エリマキツチガキ,Geastrum triplex Jungh.,ヒメツチグリ科,ヒメツチグリ属,Geastraceae,Geastrum,"Geastrum triplex Jungh., Tijdschrift voor Natuurlijke Geschiedenis en Physiologie 7: 287 (1840) [MB#119601]",

エリンギ,Pleurotus eryngii,,Pleurotus eryngii (DC.) Quél.,,,,,"Pleurotus eryngii (DC.) Quél., Mémoires de la Société d'Émulation de Montbéliard ser. 2, 5: 112 (1872) [MB#170772]","Pleurotus fuscus Battarra ex Bres., Iconographia mycologica 6: 286 (1928) [MB#265693]<br />Dendrosarcus eryngii (DC.) Kuntze, Revisio generum plantarum 3 (2): 463 (1898) [MB#524940]

<br />Agaricus cardarella Fr., Systema Mycologicum 1: 84 (1821) [MB#237885]

<br />Agaricus eryngii DC., Flore française 6: 47 (1815) [MB#468015]

"

エルネハルシメジ,Gymnopus nivalis,,,,,,,"Gymnopus nivalis (Luthi & Plomb) Antonín & Noordel., Mycotaxon 63: 364 (1997) [MB#437635]","Gymnopus nivalis (Luthi & Plomb) Antonín & Noordel., Mycotaxon 63: 364 (1997) [MB#437635]<br />Gymnopus nivalis (Luthi & Plomb) Antonín & Noordel., Documents Mycologiques 25 (98-100): 15 (1995) [MB#434621]<br />Collybia nivalis (Luthi & Plomb) M.M. Moser, Kleine Kryptogamenflora - Die Röhrlinge und Blätterpilze (Agaricales) IIb/2: 147 (1978) [MB#311522]

<br />Marasmius nivalis Luthi & Plomb, Bulletin de la Société Mycologique de France 83: 740 (1968) [MB#333738]

"

エントツゴケ,Pyrgillus javanicus,,,,,,,"Pyrgillus javanicus (Mont. & Bosch) Nyl., Mémoires de la Société Impériale des Sciences Naturelles de Cherbourg 5: 334 (1857) [MB#403566]","Acolium javanicum (Mont. & Bosch) Stizenb., Bericht über die Tätigkeit der St. Gallischen Naturwissenschaftlichen Gesellschaft 1861-1862: 148 (1862) [MB#375789]<br />Trachylia javanica (Montagne & Bosch) Nyl. (1857) [MB#407797]

<br />Calicium javanicum Mont. & Bosch, Sylloge generum specierumque plantarum cryptogamarum: 357 (1856) [MB#381038]

"

オイラセクチキムシタケ,Cordyceps rubiginosiperitheciata,,"Ophiocordyceps rubiginosoperitheciata (Kobayasi & Shimizu) G.H. Sung, J.M. Sung, Hywel-Jones & Spatafora",オフィオコルディセプス科,オフィオコルディセプス属,Ophiocordycipitaceae,Ophiocordyceps,"Cordyceps rubiginosiperitheciata Kobayasi & Shimizu, Bulletin of the National Science Museum Tokyo 9: 14 (1983) [MB#529404]","Ophiocordyceps rubiginosiperitheciata (Kobayasi & Shimizu) G.H. Sung, J.M. Sung, Hywel-Jones & Spatafora, Studies in Mycology 57: 46 (2007) [MB#504332]

<br />Ophiocordyceps rubiginosoperitheciata (Kobayasi & Shimizu) G.H. Sung, J.M. Sung, Hywel-Jones & Spatafora (2007) [MB#529405]<br />Cordyceps rubiginosoperitheciata Kobayasi & Shimizu (1983) [MB#114260]

"

オウギタケ,Gomphidius roseus,オオギタケ,Gomphidius roseus (Fr.) Fr.,オウギタケ科,オウギタケ属,Gomphidiaceae,Gomphidius,"Gomphidius roseus (Fr.) Fr., Epicrisis Systematis Mycologici: 319 (1838) [MB#213963]","Leucogomphidius roseus (Fr.) Kotlába & Pouzar, Ceská Mykologie 26 (4): 219 (1972) [MB#316843]<br />Gomphus glutinosus var. roseus (Fr.) P. Kumm., Der Führer in die Pilzkunde: 93 (1871) [MB#507901]

<br />Gomphidius glutinosus var. roseus (Fr.) Fr., Epicrisis Systematis Mycologici: 319 (1838) [MB#438394]

<br />Gomphus roseus (Fr.) Weinm., Sylloge plantarum novarum itemque minus cognitarum a praestantissimis botanicis adhuc viventibus collecta et a Societate regia botanica Ratisbonensi edita 2: 99 (1828) [MB#633920]

<br />Agaricus glutinosus ß roseus Fr., Systema Mycologicum 1: 315 (1821) [MB#487327]

"

オウシュウマツタケ,Tricholoma caligatum,,Tricholoma caligatum (Viv.) Ricken,,,,,"Tricholoma caligatum (Viv.) Ricken, Die Blätterpilze 1: 331 (1915) [MB#259381]","Sphaerocephalus caligatus (Viv.) Raithelh., Metrodiana 8: 52 (1979) [MB#283697]

<br />Sphaerocephalus caligatum (Viv.) Raithelh. (1979) [MB#282131]<br />Mastoleucomyces caligatus (Viv.) Kuntze, Revisio generum plantarum 2: 861 (1891) [MB#633656]

<br />Armillaria caligata (Viv.) Gillet, Les Hyménomycètes ou Description de tous les Champignons qui Croissent en France 1: 79 (1874) [MB#237354]

<br />Agaricus caligatus Viv., I Funghi d'Italia: 40 (1834) [MB#446776]

"

オウテングタケ,Amanita regalis,,Amanita regalis (Fr.) Michael,テングタケ科,テングタケ属,Amanitaceae,Amanita,Amanita regalis (Fr.) Michael (1904) [MB#454253],"Amanitaria muscaria var. regalis (Fr.) E.-J. Gilbert, Iconographia Mycologica 27: 77 (1940) [MB#351639]<br />Amanita muscaria var. regalis (Fr.) Sacc., Sylloge Fungorum 5: 13 (1887) [MB#160992]

<br />Agaricus muscarius var. regalis Fr., Systema Mycologicum 1: 16 (1821) [MB#480027]

"

オウナタケ,Bolbitius callistus,,Bolbitius callistus (Peck) Watling,オキナタケ科,オキナタケ属,Bolbitiaceae,Bolbitius,"Bolbitius callistus (Peck) Watling, Kew Bulletin 31 (3): 592 (1977) [MB#534995]","Bolbitius callisteus (Peck) Watling (1977) [MB#309610]<br />Pluteolus callistus (Peck) Peck, Annual Report on the New York State Museum of Natural History 46: 140 (1894) [MB#454044]

<br />Agaricus callistus Peck, Bulletin of the Buffalo Society of Natural Sciences 1: 52 (1874) [MB#505672]

"

オウバイタケ,Atheniella aurantiidisca,,Mycena aurantiidisca Murrill,クヌギタケ科,クヌギタケ属,Mycenaceae,Mycena,"Atheniella aurantiidisca (Murrill) Redhead, Moncalvo, Vilgalys, Desjardin & B.A. Perry, Index Fungorum 14: 1 (2012) [MB#550104]","Prunulus aurantiidiscus Murrill, North American Flora 9 (5): 336 (1916) [MB#175042]

<br />Mycena aurantiidisca (Murrill) Murrill, Mycologia 8 (4): 220 (1916) [MB#240646]"

オオアミガサタケ,Morchella smithiana,,Morchella smithiana Cooke,アミガサタケ科,アミガサタケ属,Morchellaceae,Morchella,"Morchella smithiana Cooke, Mycographia, seu Icones fungorum 1 (4): 184 (1878) [MB#163288]",

オオアミハナイグチ,Fuscoboletinus glandulosus,,Suillus glandulosus (Peck) Singer = Fuscoboletinus glandulosus (Peck) Pomerl. & A.H. Sm.,ヌメリイグチ科,ヌメリイグチ属,Suillaceae,Suillus,Fuscoboletinus glandulosus (Peck) Pomerl. & A.H. Sm. (1962) [MB#330995],"Suillus glandulosus (Peck) Singer (1951) [MB#339849]<br />Boletinus glandulosus Peck, Bulletin of the New York State Museum 131: 34 (1909) [MB#164060]

"

オオイシバイイワノリ,Collema auriforme,,,,,,,"Lathagrium auriforme (With.) Otálora, P.M. Jørg. & Wedin, Fungal Diversity 64: 287 (2014) [MB#805682]","Lathagrium auriforme (With.) Otálora, P.M. Jørg. & Wedin, Fungal Diversity 64: 287 (2014) [MB#805682]<br />Riccia auriformis With., A Botanical Arrangement of all the vegetables naturally growing in Great Britain 1-2: 704 (1776) [MB#374423]

"

オオイチョウタケ,Leucopaxillus giganteus,,Leucopaxillus giganteus (Sow. ) Sing.,キシメジ科,オオイチョウタケ属,Tricholomataceae,Leucopaxillus,"Leucopaxillus giganteus (Sowerby) Singer, Botanicheskie Materialy Otdela Sporovyh Rastenij Botanicheskogo Instituti Imeni V.L. Komarova 4 (10-12): 8 (1938) [MB#283342]","Aspropaxillus giganteus (Sowerby) Kühner & Maire, Bulletin de la Société Mycologique de France 50: 13 (1934) [MB#265972]<br />Omphalia geotropa var. gigantea (Sowerby) Quél., Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 23 (1886) [MB#500435]

<br />Paxillus giganteus (Sowerby) Fr., Hymenomycetes europaei: 401 (1874) [MB#185382]

<br />Clitocybe gigantea (Sowerby) Quél., Mémoires de la Société d'Émulation de Montbéliard ser. 2, 5: 88 (1872) [MB#265959]

<br />Agaricus giganteus Sowerby, Coloured Figures of English Fungi 4: pl. 420, t. 420 (1809) [MB#221740]

"

オオイヌシメジ,Clitocybe geotropa,オオカヤタケ,Infundibulicybe geotropa (Bull.) Harmaja,キシメジ科,オオイヌシメジ属,Tricholomataceae,Infundibulicybe,"Infundibulicybe geotropa (Bull. ex DC.) Harmaja, Annales Botanici Fennici 40 (3): 216 (2003) [MB#487940]","Infundibulicybe geotropa (Bull. ex DC.) Harmaja, Annales Botanici Fennici 40 (3): 216 (2003) [MB#487940]

<br />Clitocybe gilva var. geotropa (Bull. ex DC.) P. Kumm., Der Führer in die Pilzkunde: 124 (1871) [MB#507470]

<br />Agaricus stereopus Pers., Mycologia Europaea 3: 72 (1828) [MB#149760]<br />Agaricus geotropus Bull. ex DC., Flore française 2: 172 (1805) [MB#507475]

"

オオイワブスマ,Lasallia pensylvanica,,,,,,,"Lasallia pensylvanica (Hoffm.) Llano, Monograph Umbilicariaceae: 42 (1950) [MB#588779]",

